"Project.ID","Donation.ID","Donor.ID","Donation.Included.Optional.Donation","Donation.Amount","Donor.Cart.Sequence"
"05b9b434235a714eb6df4298586a9a79","cf2b3ceb7fbc72cb2ad23281b5c59144","fcfc12d21cfcbd7de347d5be40e1baf2","No",50,3
"05b9b434235a714eb6df4298586a9a79","90ae3c692bff63104fe26acb2cc0ff47","c6596565017a7c79d91d3746618f6af7","Yes",20,1
"05b9b434235a714eb6df4298586a9a79","536512c3d88bee9dc7f1419dfbcbfe53","0bd83072d7bf65c2ccda7bc679af44d2","Yes",25,1
"05b9b434235a714eb6df4298586a9a79","796ea801690742406ec9b89f5dc65bec","c2baa935a93cb65d7a5555b96a0addd7","Yes",25,1
"05b9b434235a714eb6df4298586a9a79","b4c5319e04c8e11d216848be993447a2","6264f333077be3c2b00db69b89212682","Yes",25,1
"05b9b434235a714eb6df4298586a9a79","0b7783b6a1d0020bc8f0ce14a97536ba","5b8effad90bd8ddbdc6403c2300cb409","Yes",30,1
"05b9b434235a714eb6df4298586a9a79","6e3cd6d1afc8db410bed4e9659f42811","e05c0b8da218aac4813ee744584b1cf7","Yes",20,1
"05b9b434235a714eb6df4298586a9a79","d2a2fe3d4bebdd67ce07e5c1b9a117ae","0a1470cc71ada1d07765710a15eea63d","Yes",10,1
"05b9b434235a714eb6df4298586a9a79","1ae1dc1a3ab991a4c4a80deb20f715f3","8ef8db6df5e038496841ca5018c81702","Yes",34,1
"05b9b434235a714eb6df4298586a9a79","505bf47aacbc5ad658dea5f20c847a55","1728a56d2bc1a488fc1f91f0631429fc","Yes",25,1
"05b9b434235a714eb6df4298586a9a79","7a1654ffdfd1574fc4f0f08e8d8be68c","510b7a3e0e15ae9990db239921ffa667","Yes",25,1
"05cf55bbd6e5d4a861fdb04f936f3080","3d48e4b8b373bfab3f9e093058f0fb9a","b2d1446d745c2be37231faa3ab1658f4","Yes",55,444
"05cf55bbd6e5d4a861fdb04f936f3080","26001937e579703dd516dfaa03ae367a","dad68c7a59596cb9eda8b86c00f5a6ce","Yes",75,1
"05cf55bbd6e5d4a861fdb04f936f3080","98fb229cd21ab6d63a0a8811ba369e09","b2d1446d745c2be37231faa3ab1658f4","Yes",53.19,443
"05cf55bbd6e5d4a861fdb04f936f3080","311c34fc59a1ed33a12f51cdb3d27046","dad68c7a59596cb9eda8b86c00f5a6ce","Yes",25,2
"05cf55bbd6e5d4a861fdb04f936f3080","f58daad4770e7925d999feab07268377","d9fd0c3f5865ff56e4c72c0c9370d732","Yes",10,5
"13821c6fe96630bd9d5b6d4827efad34","f5bb13198de771b4dc455d571baf6d3d","441939c216398ea951328f1fea90dc26","Yes",10,1
"13821c6fe96630bd9d5b6d4827efad34","891eccd404dccdb18ff19f535f549ae6","62df0723ae72ca27cb188e92cbdfdd40","Yes",60,2
