"Donor.ID","Donor.City","Donor.State","Donor.Is.Teacher","Donor.Zip"
"015c50bdb7662cdce2dbd7ae8b72abf9","Williamston","South Carolina","Yes","296"
"077751453cea9be2823f9fe32304d2ef","Southampton","New York","No","119"
"0a1470cc71ada1d07765710a15eea63d","Merkel","Texas","No","795"
"0bd83072d7bf65c2ccda7bc679af44d2","Georgetown","Texas","No","786"
"128a9ae42931fc7a121f1a9378dfb242","Rochester","Michigan","No","483"
"1728a56d2bc1a488fc1f91f0631429fc","Keller","Texas","No","762"
"1a491dbbaee5d2f917fcda008bfbc089","Alexandria","Virginia","No","223"
"1a491dbbaee5d2f917fcda008bfbc089","Alexandria","Virginia","No","223"
"1dc1697372e6e4b6771f911a0d658bab","Augusta","West Virginia","Yes","267"
"20b07466669c06b408e145c41c70424f","Saint Louis","Missouri","No","631"
"343131680533f32806d652f9168b2890","Bray","Oklahoma","No","730"
"343131680533f32806d652f9168b2890","Bray","Oklahoma","No","730"
"343131680533f32806d652f9168b2890","Bray","Oklahoma","No","730"
"35218ddb4e4365560710b0e1ffd28bac","Somerset","New Jersey","No","088"
"368562f74f084bd227f63be392cd6342","Sammamish","Washington","No","980"
"394e00c00aba5d7e06ec89fb05d4158f","Winchester","Virginia","No","226"
"3d62fd93b202746020b5a3417eec7917","Mansfield","Ohio","No","449"
"43b5d68a4d28263e2176f0dce857dbbd","Conroe","Texas","Yes","773"
"43b5d68a4d28263e2176f0dce857dbbd","Conroe","Texas","Yes","773"
"43b5d68a4d28263e2176f0dce857dbbd","Conroe","Texas","Yes","773"
"43b5d68a4d28263e2176f0dce857dbbd","Conroe","Texas","Yes","773"
"441939c216398ea951328f1fea90dc26","Capon Bridge","West Virginia","No","267"
"4432a46dae5bf54952a5cbc5d74aec37","Norfolk","Virginia","No","235"
"4432a46dae5bf54952a5cbc5d74aec37","Norfolk","Virginia","No","235"
"4432a46dae5bf54952a5cbc5d74aec37","Norfolk","Virginia","No","235"
"510b7a3e0e15ae9990db239921ffa667","Richmond","Virginia","No","232"
